rubrik;kategori;kategori_detaljerad;ort;lat;long;url;bildurl;datum
Fler kommunalare får arbetsskor;arbetskläder;arbetsskor;Ragunda;63.3182;15.17;https://ka.se/2023/11/15/fler-kommuner-ger-anstallda-arbetsskor/;https://media.arto.se/app/uploads/sites/10/2023/06/semester-familj.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2023-11-15
Mindre stress när de slipper minutstyrning;minutstyrning;minutstyrning;Karlstad;59.3798;13.5047;https://ka.se/2023/11/17/mindre-stress-och-mer-ansvar-nar-hemtjanstpersonal-slipper-minutstyrning/;https://media.arto.se/app/uploads/sites/10/2023/11/231116-hemtjanst-04.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2023-11-17
Kommunen vill minska sjukfrånvaron – då får undersköterskan Sofie kortad arbetstid;arbetstid;arbetstid;Sala;59.9203;16.6099;https://ka.se/2023/11/27/kommunen-vill-minska-sjukfranvaron-da-far-underskoterskan-sofie-kortad-arbetstid/;https://media.arto.se/app/uploads/sites/10/2023/11/sala-wp.png?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2023-11-27
Han fixade arbetskläder till sin skola;arbetskläder;arbetskläder;Stockholm;59.3293;18.5;https://ka.se/2023/11/29/skyddsombudet-mohamed-fixade-arbetsklader-till-sin-skola/;https://media.arto.se/app/uploads/sites/10/2023/11/snosite-2.png?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2023-11-29
Här fortsätter hemtjänsten med kortad arbetsvecka – sjukfrånvaron minskade;arbetstid;arbetstid;Vaggeryd;57.4091;14.1106;https://ka.se/2023/12/19/har-fortsatter-hemtjansten-med-kortad-arbetsvecka-sjukfranvaron-minskade/;https://media.arto.se/app/uploads/sites/10/2023/12/arbetsstidsajt.png?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2023-12-19
Hon blev specialistbarnskötare – fick tusen kronor mer;utbildning;utbildning;Eskilstuna;59.3666;16.507;https://ka.se/2024/01/16/hon-blev-specialistbarnskotare-fick-tusen-kronor-mer/;https://media.arto.se/app/uploads/sites/10/2024/01/specialist-sajt.png?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-01-16
Medlemmar i Kommunal gick miste om löneökning – får fyra miljoner efter facklig förhandling;lön;lön;Trelleborg;55.3753;13.1569;https://ka.se/2024/01/18/medlemmar-i-kommunal-gick-miste-om-loneokning-far-fyra-miljoner-efter-facklig-forhandling/;https://media.arto.se/app/uploads/sites/10/2024/01/bertil-ericson-scanpix-kod-10100.jpeg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-01-18
Skyddsombudet Linda fixade arbetskläder och vinterskor till 400 anställda;arbetskläder;arbetskläder;Kumla;59.1258;15.143;https://ka.se/2024/01/22/skyddsombudet-linda-fixade-arbetsklader-och-vinterskor-till-400-anstallda/;https://media.arto.se/app/uploads/sites/10/2024/01/ny-sajt.png?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-01-22
Personalen tog över boendet och införde 6 timmars arbetsdag;arbetstid;arbetstid;Ytterhogdal;62.175;14.94114;https://ka.se/2024/02/07/personalen-fick-sex-timmars-arbetsdag-nar-de-tog-over-boendet-hinner-ha-fritid/;https://media.arto.se/app/uploads/sites/10/2024/02/6timmar-sajt.png?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-02-07
Efter miljonboten – nu styr hemtjänstpersonalen själva över schemat;minutstyrning;minutstyrning;Göteborg;57.6;11.5;https://ka.se/2024/04/02/efter-miljonboten-nu-styr-hemtjanstpersonalen-sjalva-over-schemat/;https://media.arto.se/app/uploads/sites/10/2024/03/hemtjansten.jpeg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2024-04-02
