rubrik;kategori;kategori_detaljerad;ort;lat;long;url;bildurl;datum
Tusen kronor mer i lön för vikarier i Mönsterås;lön;lön;Mönsterås;57.04;16.442;https://arbetet.se/2025/06/19/tusen-kronor-mer-i-lon-for-vikarier-i-monsteras/;https://media.arto.se/app/uploads/sites/10/2025/06/18162547/pengarlon.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2025-06-19
Nio timmar kortare arbetsvecka ska rädda hemtjänsten;arbetstid;arbetstidsförkortning;Arvika;59.6502;12.1793;https://arbetet.se/2025/06/23/nio-timmar-kortare-arbetsvecka-ska-radda-hemtjansten-kan-orka-till-pensionen/;https://media.arto.se/app/uploads/sites/10/2025/06/23101821/28-klar.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2025-06-23
Barnskötare i Norrköping får extra löneökningar;lön;lön;Norrköping;58.572;15.9316;https://arbetet.se/2025/06/18/barnskotare-i-norrkoping-far-extra-loneokningar/;https://media.arto.se/app/uploads/sites/10/2025/06/11144022/malin-kungshammar-3.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1200;2025-06-18
Piteå satsar på gratis kaffe och trivselpeng;arbetsvillkor;arbetsmiljö;Piteå;65.321;21.4567;https://arbetet.se/2025/06/26/pitea-satsar-pa-gratis-kaffe-och-trivselpeng/;https://media.arto.se/app/uploads/sites/10/2023/12/fredrik-sandberg-tt.jpeg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2025-06-26
Så fick de politikerna att lyssna – och höja lönen;lön;lön;Olofström;56.288;14.709;https://arbetet.se/2025/07/10/sa-fick-de-politikerna-att-lyssna-och-hoja-underskoterskornas-loner/;https://media.arto.se/app/uploads/sites/10/2025/07/09100203/anette-modin.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2025-07-10
Efter Inas larm – nu sätts kommunens chefer i skolbänken;arbetsvillkor;arbetsmiljö;Sundsvall;62.508;17.583;https://arbetet.se/2025/07/16/efter-inas-larm-nu-satts-kommunens-chefer-i-skolbanken/;https://media.arto.se/app/uploads/sites/10/2025/06/09100550/ina.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2025-07-16
Efter lång kamp får stödassistenter arbetsskor;arbetskläder;arbetsskor;Göteborg;57.70143;12.1030;https://arbetet.se/2025/09/04/efter-lang-kamp-far-stodassistenter-arbetsskor/;https://media.arto.se/app/uploads/sites/10/2025/09/04091311/1000007014.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2025-09-04
Högsby lönesatsar på undersköterskor – och chefer;lön;lön;Högsby;57.1676;16.0194;https://arbetet.se/2025/08/28/hogsby-lonesatsar-pa-underskoterskor-och-chefer/;https://media.arto.se/app/uploads/sites/10/2025/08/27141733/kaiza-beskuren.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2025-08-28
Här får barnskötarna vaccin på jobbet;arbetsvillkor;arbetsvillkor;Göteborg;57.6351;11.9238;https://arbetet.se/2025/08/25/har-far-barnskotarna-vaccin-pa-jobbet/;https://media.arto.se/app/uploads/sites/10/2025/08/21135115/vaccinwinnie.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2025-08-25
Välfärdspersonal i Sundbyberg får arbetsskor: ”Hjälper mycket ekonomiskt” ;arbetskläder;arbetsskor;Sundbyberg;59.361;17.7;https://arbetet.se/2025/10/02/valfardspersonal-i-sundbyberg-far-arbetsskor-hjalper-mycket-ekonomiskt/;https://media.arto.se/app/uploads/sites/10/2025/10/01214632/arbrtsskor-delad.png?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2025-10-02
”Det lönar sig att bråka” – bussförarna vann kampen om gatstenarna;arbetsvillkor;arbetsmiljö;Norrköping;58.3;16.1826;https://arbetet.se/2025/11/05/det-lonar-sig-att-braka-bussforarna-vann-kampen-om-gatstenarna/;https://media.arto.se/app/uploads/sites/10/2025/10/04135943/bild-5.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2025-11-05
Fler får kortare arbetstid i Göteborgs förskolor: ”Jättetufft med stora barngrupper”;arbetstid;arbetstidsförkortning;Göteborg;57.6;11.5;https://arbetet.se/2025/10/20/fler-far-kortare-arbetstid-i-goteborgs-forskolor-jattetufft-med-stora…;https://media.arto.se/app/uploads/sites/10/2025/10/20134856/forskola-arbetstid.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2025-10-20
S backar – drar tillbaka uppsägningen av alla barnskötare: ”Stolt över engagemanget”;arbetsvillkor;arbetsvillkor;Hammarö;59.330;13.5006;https://arbetet.se/2025/10/17/s-backar-drar-tillbaka-uppsagningen-av-alla-barnskotare-stolt-over-en…;https://media.arto.se/app/uploads/sites/10/2025/10/17105836/karn-2.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2025-10-17
Efter 20 års kamp – bussförare får kortare arbetsdag;arbetstid;arbetstid;Sverige;61.71735;18.5;https://arbetet.se/2025/10/15/bussforare-far-kortad-arbetsdag-avtal-klart/;https://media.arto.se/app/uploads/sites/10/2025/10/15154627/mm.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2025-10-15
Vårdanställda i Stockholm får arbetsskor: ”Jätteviktigt”;arbetskläder;arbetsskor;Stockholm;59.3293;18.9;https://arbetet.se/2025/10/07/45-000-vardanstallda-i-stockholm-far-skor-jatteviktigt/;https://media.arto.se/app/uploads/sites/10/2025/10/07141842/catharina.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=1800&h=1012;2025-10-07
Facklig seger i Örebro: Kommunen drar tillbaka kritiserade scheman;arbetstid;schema;Örebro;59.283;15.3;https://arbetet.se/2025/10/06/facklig-seger-i-orebro-kommunen-drar-tillbaka-kritiserade-scheman/;https://media.arto.se/app/uploads/sites/10/2025/10/03105831/balaj-3-e8d399d0-0700-4245-8909-e85f629b0384-2.jpg?auto=format&crop=faces&facepad=10&fit=crop&q=50&w=400&h=500;2025-10-06
